# Geometria del corredor Tijuana-Tecate, para JTT-1395.
# Origen: 200217-IT-B Larguillo ITS Tijuana - Tecate.kmz, entregado por el lider el 20-ago-2026.
# Traza de 724 vertices, anclada a las 29 paletas de kilometraje PK 120..148 del mismo archivo.
# Cubre del PK 120.764 al PK 147.716. Fuera de ese tramo no hay geometria.
# Formato: longitud;latitud;metros   (metros = punto kilometrico normalizado, CA 8)
-116.7772700;32.5455500;139602
-116.7779100;32.5455600;139662
-116.7784500;32.5455700;139713
-116.7789700;32.5455900;139762
-116.7790800;32.5455900;139772
-116.7795100;32.5456000;139812
-116.7797200;32.5456000;139832
-116.7797600;32.5456000;139836
-116.7803700;32.5456200;139893
-116.7805300;32.5456200;139908
-116.7807900;32.5456300;139933
-116.7810000;32.5456400;139952
-116.7810500;32.5456400;139957
-116.7816400;32.5456600;140013
-116.7818700;32.5456600;140034
-116.7836200;32.5456900;140199
-116.7852900;32.5457400;140357
-116.7858000;32.5457500;140405
-116.7864500;32.5457600;140466
-116.7869700;32.5457700;140515
-116.7870700;32.5457800;140525
-116.7873600;32.5457900;140552
-116.7887500;32.5458200;140683
-116.7897900;32.5458600;140781
-116.7899800;32.5458600;140799
-116.7902200;32.5458700;140822
-116.7902500;32.5458700;140824
-116.7904600;32.5458700;140844
-116.7908900;32.5458800;140885
-116.7912900;32.5459000;140923
-116.7914800;32.5459200;140941
-116.7918500;32.5459700;140976
-116.7920400;32.5460000;140994
-116.7923400;32.5460700;141023
-116.7925100;32.5461100;141040
-116.7926300;32.5461400;141052
-116.7927700;32.5461900;141066
-116.7930700;32.5462800;141096
-116.7935300;32.5464500;141143
-116.7942300;32.5467900;141219
-116.7944700;32.5469200;141245
-116.7952000;32.5473100;141326
-116.7953700;32.5474000;141345
-116.7955500;32.5475000;141366
-116.7956100;32.5475300;141372
-116.7957200;32.5475900;141384
-116.7958600;32.5476700;141400
-116.7959000;32.5476900;141405
-116.7964600;32.5479900;141467
-116.7970900;32.5483200;141536
-116.7971000;32.5483200;141537
-116.7976700;32.5486200;141600
-116.7978400;32.5487100;141619
-116.7982900;32.5489200;141667
-116.7985700;32.5490300;141696
-116.7987200;32.5490900;141712
-116.7990600;32.5492000;141746
-116.7992200;32.5492400;141762
-116.7997800;32.5493600;141816
-116.7999900;32.5494100;141836
-116.8002500;32.5494600;141861
-116.8015900;32.5497100;141990
-116.8019800;32.5498100;142028
-116.8021100;32.5498400;142041
-116.8021900;32.5498600;142049
-116.8024000;32.5499300;142070
-116.8026800;32.5500500;142099
-116.8029300;32.5501600;142126
-116.8031600;32.5502800;142151
-116.8033100;32.5503800;142169
